CMDLINE mpiexec --oversubscribe -n 6 python run.py
CHLD 3 205.605469 1616612190.2150
CHLD 4 206.242188 1616612190.2150
CHLD 5 205.250000 1616612190.2150
MEM 1247.824219 1616612190.3300
CHLD 0 205.492188 1616612190.3361
CHLD 1 205.871094 1616612190.3361
CHLD 2 206.308594 1616612190.3361
CHLD 3 205.851562 1616612190.3361
CHLD 4 206.242188 1616612190.3362
CHLD 5 205.250000 1616612190.3362
MEM 1248.816406 1616612190.4524
CHLD 0 205.738281 1616612190.4579
CHLD 1 206.121094 1616612190.4579
CHLD 2 206.308594 1616612190.4580
CHLD 3 205.851562 1616612190.4580
CHLD 4 206.492188 1616612190.4580
CHLD 5 205.496094 1616612190.4580
MEM 1248.816406 1616612190.5734
CHLD 0 205.738281 1616612190.5792
CHLD 1 206.121094 1616612190.5792
CHLD 2 206.308594 1616612190.5793
CHLD 3 205.851562 1616612190.5793
CHLD 4 206.492188 1616612190.5793
CHLD 5 205.496094 1616612190.5793
MEM 1248.816406 1616612190.6918
CHLD 0 205.738281 1616612190.6977
CHLD 1 206.121094 1616612190.6977
CHLD 2 206.308594 1616612190.6977
CHLD 3 205.851562 1616612190.6977
CHLD 4 206.492188 1616612190.6978
CHLD 5 205.496094 1616612190.6978
MEM 1249.332031 1616612190.8136
CHLD 0 205.738281 1616612190.8192
CHLD 1 206.121094 1616612190.8192
CHLD 2 206.566406 1616612190.8192
CHLD 3 206.109375 1616612190.8193
CHLD 4 206.492188 1616612190.8193
CHLD 5 205.496094 1616612190.8193
MEM 1250.363281 1616612190.9302
CHLD 0 205.996094 1616612190.9376
CHLD 1 206.632812 1616612190.9376
CHLD 2 206.820312 1616612190.9376
CHLD 3 206.359375 1616612190.9377
CHLD 4 206.750000 1616612190.9377
CHLD 5 205.753906 1616612190.9377
MEM 1254.609375 1616612191.0450
CHLD 0 206.859375 1616612191.0518
CHLD 1 207.320312 1616612191.0518
CHLD 2 207.582031 1616612191.0518
CHLD 3 207.152344 1616612191.0519
CHLD 4 207.628906 1616612191.0519
