# y_px x_px vel(km/s) disp(km/s) chi2/DOF 1-sigma
10 2 -3.200559003335459352e+02 3.380962095711166739e+02 1.271910369640567806e+00 1.353378791741553400e+01
10 3 -3.561838962566176860e+02 3.529026857918029236e+02 1.306831204541270663e+00 1.247505508543680186e+01
10 4 -2.993956840541027304e+02 3.363880560091446341e+02 1.145294969094637461e+00 9.559232791181743849e+00
10 5 -3.083713392698454641e+02 3.227230528565243048e+02 1.276689892600925802e+00 7.661020281347014738e+00
10 6 -2.953927367536485349e+02 3.202225923900527391e+02 1.277094571143037705e+00 6.595813738190745568e+00
10 7 -3.131961976521234874e+02 3.411270578060554612e+02 1.306251444192115363e+00 5.329614193547188350e+00
10 8 -3.145620347529871879e+02 3.574799956274215447e+02 1.907830617398211581e+00 5.284546801090299617e+00
10 9 -3.131347987359756644e+02 3.807816779877639419e+02 2.344225191122725871e+00 5.559848281496354794e+00
10 10 -3.145618704420481890e+02 3.707059062903548465e+02 1.567436825591911553e+00 4.995951932846439014e+00
10 11 -3.178065515176099893e+02 3.408412818241449145e+02 1.634026561889541096e+00 5.251815684965253972e+00
10 12 -3.202895456566748749e+02 3.437073001945332749e+02 1.361865967744128492e+00 6.194838453068591377e+00
10 13 -3.130837399085151560e+02 3.251308146891093998e+02 1.303411338932907393e+00 7.270977135480561238e+00
10 14 -3.175689035379276675e+02 3.257434408143076894e+02 1.308661152485480983e+00 8.451828742106183512e+00
10 15 -3.223265224174360810e+02 3.260613777087458516e+02 1.324174049616157589e+00 1.057777715879456615e+01
10 16 -2.999674262640266988e+02 3.179760498665984301e+02 1.428177114388163638e+00 1.305342447581941201e+01
10 17 -3.292843024686902140e+02 3.045462589760029459e+02 1.398025970678175911e+00 1.355433653650501213e+01
10 18 -2.818087256458414913e+02 3.437916965464069108e+02 1.544083183645425184e+00 1.647803434952194124e+01
10 19 -3.166129158626646358e+02 2.942265748564643673e+02 1.330801932265426535e+00 1.464977665676840601e+01
11 0 -3.181724880258281019e+02 2.895398065288324005e+02 1.358813970091816925e+00 1.245654097130876359e+01
11 1 -3.062560613971662633e+02 2.971335246956859351e+02 1.359528255696131671e+00 1.179378585194236884e+01
11 2 -3.316031791646771012e+02 3.321938010996402681e+02 1.047500324669885297e+00 1.212917069294393002e+01
11 3 -3.177301626465350068e+02 3.257321436948715814e+02 1.320865896382754867e+00 1.062350270105030958e+01
11 4 -3.169069586839619888e+02 3.265858426542999382e+02 1.215070225035326246e+00 9.933108402540455018e+00
11 5 -3.154251284736060938e+02 3.186799161545490051e+02 1.219523144403738213e+00 7.892282018984989378e+00
11 6 -3.114450336443552487e+02 3.281729802652110379e+02 1.350961887412422513e+00 7.270938346786962825e+00
11 7 -3.132987892126660086e+02 3.224175641890551560e+02 1.422436882173672146e+00 6.394538950532036914e+00
11 8 -3.112409562258328037e+02 3.507627256888193870e+02 1.574675113450764163e+00 6.220904991478606760e+00
11 9 -3.121358905513859554e+02 3.491813568673466079e+02 1.459209368301694898e+00 5.639344872550661414e+00
